Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201029510,1018XY T12,BOXER,LINEA UNDERWARE HOMBRE,10181201,XY
0201029520,1018XY T14,BOXER,LINEA UNDERWARE HOMBRE,10181409,XY
0201029530,1018XY T2,BOXER,LINEA UNDERWARE HOMBRE,10182000,XY
0201029540,1018XY T4,BOXER,LINEA UNDERWARE HOMBRE,10184004,XY
0201029550,1018XY T6,BOXER,LINEA UNDERWARE HOMBRE,10186008,XY
0201029560,1018XY T8,BOXER,LINEA UNDERWARE HOMBRE,10188002,XY
0201029570,1020XY T10,BOXER,LINEA UNDERWARE HOMBRE,10201008,XY
0201029580,1020XY T12,BOXER,LINEA UNDERWARE HOMBRE,10201206,XY
0201029590,1020XY T14,BOXER,LINEA UNDERWARE HOMBRE,10201404,XY
0201029600,1020XY T2,BOXER,LINEA UNDERWARE HOMBRE,10202005,XY
0201029610,1020XY T4,BOXER,LINEA UNDERWARE HOMBRE,10204009,XY
0201029620,1020XY T6,BOXER,LINEA UNDERWARE HOMBRE,10206003,XY
0201029630,1020XY T8,BOXER,LINEA UNDERWARE HOMBRE,10208007,XY
0201029640,1090XYT10,BOXER,LINEA UNDERWARE HOMBRE,10901007,XY
0201029650,1090XYT12,BOXER,LINEA UNDERWARE HOMBRE,10901205,XY
0201029660,1090XY T14,BOXER,LINEA UNDERWARE HOMBRE,10901403,XY
0201029670,1090XY T2,BOXER,LINEA UNDERWARE HOMBRE,10902004,XY
0201029680,1090XY T4,BOXER,LINEA UNDERWARE HOMBRE,10904008,XY
0201029690,1090XY T6,BOXER,LINEA UNDERWARE HOMBRE,10906002,XY
0201029700,1090XYT8,BOXER,LINEA UNDERWARE HOMBRE,10908006,XY
0201029710,1096XY T10,BOXER,LINEA UNDERWARE HOMBRE,10961001,XY
0201029720,1096XY T12,BOXER,LINEA UNDERWARE HOMBRE,10961209,XY
0201029730,1096XY T14,BOXER,LINEA UNDERWARE HOMBRE,10961407,XY
0201029740,1096XY T2,BOXER,LINEA UNDERWARE HOMBRE,10962008,XY
0201029750,1096XY T4,BOXER,LINEA UNDERWARE HOMBRE,10964002,XY
0201029760,1096XY T6,BOXER,LINEA UNDERWARE HOMBRE,10966006,XY
0201029770,1096XY T8,BOXER,LINEA UNDERWARE HOMBRE,10968000,XY
0201029780,1300XY TS,BOXER,LINEA UNDERWARE HOMBRE,13001001,XY
0201029790,1300XY TM,BOXER,LINEA UNDERWARE HOMBRE,13002008,XY
0201029800,1300XY TL,BOXER,LINEA UNDERWARE HOMBRE,13003005,XY
0201029810,1300XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13004002,XY
0201029820,1300XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13005009,XY
0201029830,1302XY TS,BOXER,LINEA UNDERWARE HOMBRE,13021009,XY
0201029840,1302XY TM,BOXER,LINEA UNDERWARE HOMBRE,13022006,XY
0201029850,1302XY TL,BOXER,LINEA UNDERWARE HOMBRE,13023003,XY
0201029860,1302XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13024000,XY
0201029870,1302XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13025007,XY
0201029880,1303XY TS,BOXER,LINEA UNDERWARE HOMBRE,13031008,XY
0201029890,1303XY TM,BOXER,LINEA UNDERWARE HOMBRE,13032005,XY
0201029900,1303XY TL,BOXER,LINEA UNDERWARE HOMBRE,13033002,XY
0201029910,1303XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13034009,XY
0201029920,1303XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13035006,XY
0201029930,1304XY TS,BOXER,LINEA UNDERWARE HOMBRE,13041007,XY
0201029940,1304XY TM,BOXER,LINEA UNDERWARE HOMBRE,13042004,XY
0201029950,1304XY TL,BOXER,LINEA UNDERWARE HOMBRE,13043001,XY
0201029960,1304XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13044008,XY
0201029970,1304XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13045005,XY
0201029980,1306XY TS,BOXER,LINEA UNDERWARE HOMBRE,13061005,XY
0201029990,1306XY TM,BOXER,LINEA UNDERWARE HOMBRE,13062002,XY
0201030000,1306XY TL,BOXER,LINEA UNDERWARE HOMBRE,13063009,XY
0201030010,1306XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13064006,XY
